Material;Material short text;Final net price;Price quantity unit net price;Consumptions
01950-077;Sto-balcony exit 300 mm coarsely ribbed;100,24;M;1,00 m/m
01950-109;Sto-balcony exit 300 mm coarsely ribbed;118,13;M;1,00 m/m
01950-030;Sto-balcony exit 320 mm finely ribbed;114,08;M;1,00 m/m
01950-062;Sto-balcony exit 320 mm finely ribbed;110,70;M;1,00 m/m
01950-094;Sto-balcony exit 320 mm finely ribbed;120,49;M;1,00 m/m
01950-126;Sto-balcony exit 320 mm finely ribbed;139,05;M;1,00 m/m
01950-014;Sto-balcony exit 320 mm coarsely ribbed;99,23;M;1,00 m/m
01950-046;Sto-balcony exit 320 mm coarsely ribbed;94,84;M;1,00 m/m
01950-078;Sto-balcony exit 320 mm coarsely ribbed;104,63;M;1,00 m/m
01950-110;Sto-balcony exit 320 mm coarsely ribbed;123,86;M;1,00 m/m
01950-031;Sto-balcony exit 340 mm finely ribbed;119,48;M;1,00 m/m
01950-063;Sto-balcony exit 340 mm finely ribbed;115,09;M;1,00 m/m
01950-095;Sto-balcony exit 340 mm finely ribbed;125,55;M;1,00 m/m
01950-127;Sto-balcony exit 340 mm finely ribbed;145,80;M;1,00 m/m
01950-015;Sto-balcony exit 340 mm coarsely ribbed;103,61;M;1,00 m/m
01950-047;Sto-balcony exit 340 mm coarsely ribbed;99,56;M;1,00 m/m
01950-079;Sto-balcony exit 340 mm coarsely ribbed;109,69;M;1,00 m/m
01950-111;Sto-balcony exit 340 mm coarsely ribbed;129,60;M;1,00 m/m
01950-032;Sto-balcony exit 360 mm finely ribbed;124,54;M;1,00 m/m
01950-064;Sto-balcony exit 360 mm finely ribbed;120,83;M;1,00 m/m
01950-096;Sto-balcony exit 360 mm finely ribbed;131,29;M;1,00 m/m
01950-128;Sto-balcony exit 360 mm finely ribbed;152,55;M;1,00 m/m
01950-016;Sto-balcony exit 360 mm coarsely ribbed;108,00;M;1,00 m/m
01950-048;Sto-balcony exit 360 mm coarsely ribbed;103,61;M;1,00 m/m
01950-080;Sto-balcony exit 360 mm coarsely ribbed;114,08;M;1,00 m/m
01950-112;Sto-balcony exit 360 mm coarsely ribbed;135,34;M;1,00 m/m
01950-033;Sto-balcony exit 380 mm finely ribbed;130,28;M;1,00 m/m
01950-065;Sto-balcony exit 380 mm finely ribbed;125,55;M;1,00 m/m
01950-097;Sto-balcony exit 380 mm finely ribbed;136,69;M;1,00 m/m
01950-129;Sto-balcony exit 380 mm finely ribbed;158,63;M;1,00 m/m
01950-017;Sto-balcony exit 380 mm coarsely ribbed;112,39;M;1,00 m/m
01950-049;Sto-balcony exit 380 mm coarsely ribbed;108,00;M;1,00 m/m
01950-081;Sto-balcony exit 380 mm coarsely ribbed;118,80;M;1,00 m/m
01950-113;Sto-balcony exit 380 mm coarsely ribbed;141,08;M;1,00 m/m
01950-034;Sto-balcony exit 400 mm finely ribbed;135,34;M;1,00 m/m
01950-066;Sto-balcony exit 400 mm finely ribbed;130,61;M;1,00 m/m
01950-098;Sto-balcony exit 400 mm finely ribbed;142,09;M;1,00 m/m
01950-130;Sto-balcony exit 400 mm finely ribbed;165,38;M;1,00 m/m
01950-018;Sto-balcony exit 400 mm coarsely ribbed;116,78;M;1,00 m/m
01950-050;Sto-balcony exit 400 mm coarsely ribbed;112,05;M;1,00 m/m
01950-082;Sto-balcony exit 400 mm coarsely ribbed;123,86;M;1,00 m/m
01950-114;Sto-balcony exit 400 mm coarsely ribbed;147,15;M;1,00 m/m
02956-003;StoFentra anti-drumming layer lose 100 mm;2,10;M;1,00 m/m
02956-004;StoFentra anti-drumming layer lose 130 mm;3,18;M;1,00 m/m
02956-005;StoFentra anti-drumming layer lose 160 mm;4,02;M;1,00 m/m
02956-001;StoFentra anti-drumming layer lose 50 mm;1,11;M;1,00 m/m
02956-002;StoFentra anti-drumming layer lose 80 mm;1,73;M;1,00 m/m
02031-002;StoFentra anti-drumming layer Profi 100 mm;5,00;M;1,00 m/m
02029-002;StoFentra anti-drumming layer Profi 130 mm;6,81;M;1,00 m/m
02029-003;StoFentra anti-drumming layer Profi 160 mm;8,64;M;1,00 m/m
02029-001;StoFentra anti-drumming layer Profi 50 mm;3,51;M;1,00 m/m
02031-001;StoFentra anti-drumming layer Profi 80 mm;4,35;M;1,00 m/m
01994-005;StoFentra outside corner connector  50-180 mm a;39,29;ST;
02486-001;StoFentra outside corner connector  50-180 mm b;39,29;ST;
01998-002;StoFentra outside corner connector  50-180 mm n;27,16;ST;
02015-002;StoFentra outside corner connector  50-180 mm w;32,70;ST;
01994-006;StoFentra outside corner connector 185-360 mm a;42,06;ST;
02486-002;StoFentra outside corner connector 185-360 mm b;42,06;ST;
01998-003;StoFentra outside corner connector 185-360 mm n;31,37;ST;
02015-003;StoFentra outside corner connector 185-360 mm w;35,03;ST;
01994-007;StoFentra outside corner connector 365-500 mm a;49,99;ST;
02486-003;StoFentra outside corner connector 365-500 mm b;49,99;ST;
01998-004;StoFentra outside corner connector 365-500 mm n;36,77;ST;
02015-004;StoFentra outside corner connector 365-500 mm w;40,67;ST;
02174-051;StoFentra outside corner connector duo 150-180;32,09;ST;
02174-052;StoFentra outside corner connector duo 150-180;32,94;ST;
02174-054;StoFentra outside corner connector duo 150-180;34,86;ST;
02174-053;StoFentra outside corner connector duo 150-180m;32,94;ST;
02174-055;StoFentra outside corner connector duo 195-360;34,90;ST;
02174-056;StoFentra outside corner connector duo 195-360;35,01;ST;
02174-058;StoFentra outside corner connector duo 195-360;36,94;ST;
02174-057;StoFentra outside corner connector duo 195-360m;35,01;ST;
02174-059;StoFentra outside corner connector duo 380-400;51,27;ST;
02174-060;StoFentra outside corner connector duo 380-400;52,88;ST;
02174-062;StoFentra outside corner connector duo 380-400;54,96;ST;
02174-061;StoFentra outside corner connector duo 380-400m;52,88;ST;
02174-063;StoFentra outside corner connector duo 50-130 m;30,77;ST;
02174-064;StoFentra outside corner connector duo 50-130 m;31,56;ST;
02174-065;StoFentra outside corner connector duo 50-130 m;31,56;ST;
02174-066;StoFentra outside corner connector duo 50-130 m;33,47;ST;
02481-001;StoFentra edge profile  Profi 90-180 mm bu;33,97;PAA;
01987-002;StoFentra edge profile  Profi 90-180 mm na;25,06;PAA;
01939-003;StoFentra edge profile Profi  90-180 mm an;33,97;PAA;
02011-004;StoFentra edge profile Profi  90-180 mm we;28,31;PAA;
01939-004;StoFentra edge profile Profi 195-360 mm an;35,22;PAA;
02481-002;StoFentra edge profile Profi 195-360 mm bu;35,22;PAA;
01988-002;StoFentra edge profile Profi 195-360 mm na;26,38;PAA;
02012-004;StoFentra edge profile Profi 195-360 mm we;29,37;PAA;
01939-005;StoFentra edge profile Profi 380-400 mm an;40,72;PAA;
02481-006;StoFentra edge profile Profi 380-400 mm bu;40,72;PAA;
01988-003;StoFentra edge profile Profi 380-400 mm na;30,98;PAA;
02012-005;StoFentra edge profile Profi 380-400 mm we;33,87;PAA;
02166-011;StoFentra edge profile Uni neu 195-360 mm;18,07;PAA;1,00 pair
02166-014;StoFentra edge profile Uni neu 195-360 mm;18,99;PAA;1,00 pair
02166-017;StoFentra edge profile Uni neu 195-360 mm;20,81;PAA;1,00 pair
02166-020;StoFentra edge profile Uni neu 195-360 mm;23,10;PAA;1,00 pair
02166-012;StoFentra edge profile Uni neu 380-400 mm;21,03;PAA;1,00 pair
02166-015;StoFentra edge profile Uni neu 380-400 mm;21,96;PAA;1,00 pair
02166-018;StoFentra edge profile Uni neu 380-400 mm;23,79;PAA;1,00 pair
02166-021;StoFentra edge profile Uni neu 380-400 mm;26,07;PAA;1,00 pair
02166-016;StoFentra edge profile Uni neu 90-180 mm a;18,99;PAA;1,00 pair
02166-019;StoFentra edge profile Uni neu 90-180 mm b;21,26;PAA;1,00 pair
02166-010;StoFentra edge profile Uni neu 90-180 mm n;16,23;PAA;1,00 pair
02166-013;StoFentra edge profile Uni neu 90-180 mm w;17,15;PAA;1,00 pair
01941-014;StoFentra expansion profile 185-360 mm anthrazi;21,92;ST;
01941-017;StoFentra expansion profile 185-360 mm colored pul;24,15;ST;
01941-008;StoFentra expansion profile 185-360 mm natural el;18,64;ST;
01941-011;StoFentra expansion profile 185-360 mm white pul;19,22;ST;
01941-015;StoFentra expansion profile 365-500 mm anthrazi;24,95;ST;
01941-018;StoFentra expansion profile 365-500 mm colored pul;26,12;ST;
01941-009;StoFentra expansion profile 365-500 mm natural el;21,20;ST;
01941-012;StoFentra expansion profile 365-500 mm white pul;21,88;ST;
01941-013;StoFentra expansion profile 50-180 mm anthracite;18,85;ST;
01941-016;StoFentra expansion profile 50-180 mm colored pulv;20,75;ST;
01941-007;StoFentra expansion profile 50-180 mm natural elo;15,94;ST;
01941-010;StoFentra expansion profile 50-180 mm white pulv;16,38;ST;
02174-027;StoFentra expansion profile duo 150-180 mm anth;20,44;ST;
02174-028;StoFentra expansion profile duo 150-180 mm colored;22,03;ST;
02174-023;StoFentra expansion profile duo 150-180 mm natu;20,44;ST;
02174-026;StoFentra expansion profile duo 150-180 mm white;20,44;ST;
02174-030;StoFentra expansion profile duo 195-360 mm anth;22,88;ST;
02174-031;StoFentra expansion profile duo 195-360 mm colored;23,74;ST;
02174-024;StoFentra expansion profile duo 195-360 mm natu;22,88;ST;
02174-029;StoFentra expansion profile duo 195-360 mm white;22,88;ST;
02174-033;StoFentra expansion profile duo 380-400 mm anth;30,04;ST;
02174-034;StoFentra expansion profile duo 380-400 mm colored;33,21;ST;
02174-025;StoFentra expansion profile duo 380-400 mm natu;30,04;ST;
02174-032;StoFentra expansion profile duo 380-400 mm white;30,04;ST;
02174-021;StoFentra expansion profile duo 50-130 mm anthracite;19,22;ST;
02174-022;StoFentra expansion profile duo 50-130 mm colored;20,89;ST;
02174-019;StoFentra expansion profile duo 50-130 mm natural;19,22;ST;
02174-020;StoFentra expansion profile duo 50-130 mm white;19,22;ST;
01922-002;StoFentra Fensterbankhalter  95 mm;3,17;ST;
01922-003;StoFentra Fensterbankhalter 125 mm;3,44;ST;
01922-004;StoFentra Fensterbankhalter 170 mm;3,66;ST;
01922-005;StoFentra Fensterbankhalter 220 mm;3,94;ST;
01922-006;StoFentra Fensterbankhalter 300 mm;4,43;ST;
01922-007;StoFentra Fensterbankhalter VHF;3,61;ST;
02671-019;StoFentra window sill profile  90 mm anthracite;15,11;M;1,00 m/m
02674-001;StoFentra window sill profile  90 mm colored;15,11;M;1,00 m/m
02671-001;StoFentra window sill profile  90 mm natural;9,43;M;1,00 m/m
02673-001;StoFentra window sill profile  90 mm white;10,54;M;1,00 m/m
02671-020;StoFentra window sill profile 110 mm anthracite;16,88;M;1,00 m/m
02674-002;StoFentra window sill profile 110 mm colored;16,88;M;1,00 m/m
02671-002;StoFentra window sill profile 110 mm natural;10,62;M;1,00 m/m
02673-002;StoFentra window sill profile 110 mm white;11,79;M;1,00 m/m
02671-021;StoFentra window sill profile 130 mm anthracite;18,14;M;1,00 m/m
02674-003;StoFentra window sill profile 130 mm colored;18,14;M;1,00 m/m
02671-003;StoFentra window sill profile 130 mm natural;11,13;M;1,00 m/m
02673-003;StoFentra window sill profile 130 mm white;12,60;M;1,00 m/m
02671-022;StoFentra window sill profile 150 mm anthracite;20,13;M;1,00 m/m
02674-004;StoFentra window sill profile 150 mm colored;20,13;M;1,00 m/m
02671-004;StoFentra window sill profile 150 mm natural;12,37;M;1,00 m/m
02673-004;StoFentra window sill profile 150 mm white;14,06;M;1,00 m/m
02671-023;StoFentra window sill profile 165 mm anthracite;21,69;M;1,00 m/m
02674-005;StoFentra window sill profile 165 mm colored;21,69;M;1,00 m/m
02671-005;StoFentra window sill profile 165 mm natural;13,19;M;1,00 m/m
02673-005;StoFentra window sill profile 165 mm white;15,11;M;1,00 m/m
02671-024;StoFentra window sill profile 180 mm anthracite;23,59;M;1,00 m/m
02674-006;StoFentra window sill profile 180 mm colored;23,59;M;1,00 m/m
02671-006;StoFentra window sill profile 180 mm natural;14,66;M;1,00 m/m
02673-006;StoFentra window sill profile 180 mm white;16,43;M;1,00 m/m
02671-025;StoFentra window sill profile 195 mm anthracite;26,39;M;1,00 m/m
02674-007;StoFentra window sill profile 195 mm colored;26,39;M;1,00 m/m
02671-007;StoFentra window sill profile 195 mm natural;16,38;M;1,00 m/m
02673-007;StoFentra window sill profile 195 mm white;18,34;M;1,00 m/m
02671-026;StoFentra window sill profile 210 mm anthracite;28,30;M;1,00 m/m
02674-008;StoFentra window sill profile 210 mm colored;28,30;M;1,00 m/m
02671-008;StoFentra window sill profile 210 mm natural;17,62;M;1,00 m/m
02673-008;StoFentra window sill profile 210 mm white;19,76;M;1,00 m/m
02671-027;StoFentra window sill profile 225 mm anthracite;30,74;M;1,00 m/m
02674-009;StoFentra window sill profile 225 mm colored;30,74;M;1,00 m/m
02671-009;StoFentra window sill profile 225 mm natural;19,08;M;1,00 m/m
02673-009;StoFentra window sill profile 225 mm white;21,39;M;1,00 m/m
02671-028;StoFentra window sill profile 240 mm anthracite;32,70;M;1,00 m/m
02674-010;StoFentra window sill profile 240 mm colored;32,70;M;1,00 m/m
02671-010;StoFentra window sill profile 240 mm natural;20,18;M;1,00 m/m
02673-010;StoFentra window sill profile 240 mm white;22,86;M;1,00 m/m
02671-029;StoFentra window sill profile 260 mm anthracite;39,87;M;1,00 m/m
02674-011;StoFentra window sill profile 260 mm colored;39,87;M;1,00 m/m
02671-011;StoFentra window sill profile 260 mm natural;24,61;M;1,00 m/m
02673-011;StoFentra window sill profile 260 mm white;27,80;M;1,00 m/m
02671-030;StoFentra window sill profile 280 mm anthracite;42,57;M;1,00 m/m
02674-012;StoFentra window sill profile 280 mm colored;42,57;M;1,00 m/m
02671-012;StoFentra window sill profile 280 mm natural;26,59;M;1,00 m/m
02673-012;StoFentra window sill profile 280 mm white;29,63;M;1,00 m/m
02671-031;StoFentra window sill profile 300 mm anthracite;45,60;M;1,00 m/m
02674-013;StoFentra window sill profile 300 mm colored;45,60;M;1,00 m/m
02671-013;StoFentra window sill profile 300 mm natural;28,36;M;1,00 m/m
02673-013;StoFentra window sill profile 300 mm white;31,15;M;1,00 m/m
02671-032;StoFentra window sill profile 320 mm anthracite;49,14;M;1,00 m/m
02674-014;StoFentra window sill profile 320 mm colored;49,14;M;1,00 m/m
02671-014;StoFentra window sill profile 320 mm natural;30,56;M;1,00 m/m
02673-014;StoFentra window sill profile 320 mm white;33,75;M;1,00 m/m
02671-033;StoFentra window sill profile 340 mm anthracite;53,53;M;1,00 m/m
02674-015;StoFentra window sill profile 340 mm colored;53,53;M;1,00 m/m
02671-015;StoFentra window sill profile 340 mm natural;33,68;M;1,00 m/m
02673-015;StoFentra window sill profile 340 mm white;36,99;M;1,00 m/m
02671-034;StoFentra window sill profile 360 mm anthracite;59,68;M;1,00 m/m
02674-016;StoFentra window sill profile 360 mm colored;59,68;M;1,00 m/m
02671-016;StoFentra window sill profile 360 mm natural;35,67;M;1,00 m/m
02673-016;StoFentra window sill profile 360 mm white;40,95;M;1,00 m/m
02671-035;StoFentra window sill profile 380 mm anthracite;81,34;M;1,00 m/m
02674-017;StoFentra window sill profile 380 mm colored;81,34;M;1,00 m/m
02671-017;StoFentra window sill profile 380 mm natural;51,76;M;1,00 m/m
02673-017;StoFentra window sill profile 380 mm white;56,98;M;1,00 m/m
02671-036;StoFentra window sill profile 400 mm anthracite;90,45;M;1,00 m/m
02674-018;StoFentra window sill profile 400 mm colored;90,45;M;1,00 m/m
02671-018;StoFentra window sill profile 400 mm natural;56,98;M;1,00 m/m
02673-018;StoFentra window sill profile 400 mm white;62,30;M;1,00 m/m
01834-002;StoFentra sliding end piece duo 130-195 mm;26,59;PAA;1,0 pc/pc
01834-005;StoFentra sliding end piece duo 130-195 mm;26,59;PAA;1,0 pc/pc
01834-008;StoFentra sliding end piece duo 130-195 mm;30,32;PAA;1,0 pc/pc
01834-011;StoFentra sliding end piece duo 130-195 mm;29,05;PAA;1,0 pc/pc
01834-003;StoFentra sliding end piece duo 210-280 mm;29,47;PAA;1,0 pc/pc
01834-006;StoFentra sliding end piece duo 210-280 mm;29,47;PAA;1,0 pc/pc
01834-009;StoFentra sliding end piece duo 210-280 mm;33,18;PAA;1,0 pc/pc
01834-012;StoFentra sliding end piece duo 210-280 mm;31,92;PAA;1,0 pc/pc
01834-004;StoFentra sliding end piece duo 300-400 mm;32,33;PAA;1,0 pc/pc
01834-007;StoFentra sliding end piece duo 300-400 mm;32,33;PAA;1,0 pc/pc
01834-010;StoFentra sliding end piece duo 300-400 mm;36,07;PAA;1,0 pc/pc
01834-013;StoFentra sliding end piece duo 300-400 mm;34,78;PAA;1,0 pc/pc
01834-017;StoFentra sliding end piece duo 90-110 mm a;24,93;PAA;1,0 pc/pc
01834-016;StoFentra sliding end piece duo 90-110 mm b;25,67;PAA;1,0 pc/pc
01834-014;StoFentra sliding end piece duo 90-110 mm n;22,60;PAA;1,0 pc/pc
01834-015;StoFentra sliding end piece duo 90-110 mm w;22,60;PAA;1,0 pc/pc
01993-005;StoFentra inside corner connector  50-180 mm a;39,29;ST;
02485-001;StoFentra inside corner connector  50-180 mm b;39,29;ST;
01997-002;StoFentra inside corner connector  50-180 mm n;27,16;ST;
02014-002;StoFentra inside corner connector  50-180 mm w;32,70;ST;
01993-006;StoFentra inside corner connector 185-360 mm a;42,06;ST;
02485-002;StoFentra inside corner connector 185-360 mm b;42,06;ST;
01997-003;StoFentra inside corner connector 185-360 mm n;31,37;ST;
02014-003;StoFentra inside corner connector 185-360 mm w;35,03;ST;
01993-007;StoFentra inside corner connector 365-500 mm a;49,99;ST;
02485-003;StoFentra inside corner connector 365-500 mm b;49,99;ST;
01997-004;StoFentra inside corner connector 365-500 mm n;36,77;ST;
02014-004;StoFentra inside corner connector 365-500 mm w;40,67;ST;
02174-039;StoFentra inside corner connector duo 150-180;32,09;ST;
02174-040;StoFentra inside corner connector duo 150-180;32,94;ST;
02174-042;StoFentra inside corner connector duo 150-180;34,86;ST;
02174-041;StoFentra inside corner connector duo 150-180m;32,94;ST;
02174-043;StoFentra inside corner connector duo 195-360;34,90;ST;
02174-044;StoFentra inside corner connector duo 195-360;35,01;ST;
02174-045;StoFentra inside corner connector duo 195-360;35,01;ST;
02174-049;StoFentra inside corner connector duo 195-360m;36,94;ST;
02174-047;StoFentra inside corner connector duo 380-400;51,27;ST;
02174-048;StoFentra inside corner connector duo 380-400;52,88;ST;
02174-050;StoFentra inside corner connector duo 380-400;54,96;ST;
02174-046;StoFentra inside corner connector duo 380-400m;52,88;ST;
02174-035;StoFentra inside corner connector duo 50-130 m;30,77;ST;
02174-036;StoFentra inside corner connector duo 50-130 m;31,56;ST;
02174-037;StoFentra inside corner connector duo 50-130 m;31,56;ST;
02174-038;StoFentra inside corner connector duo 50-130 m;33,47;ST;
01923-002;StoFentra Profi  90 mm anthracite powder-coated;21,92;M;1,00 m/m
02106-001;StoFentra Profi  90 mm colored powder-coated;22,26;M;1,00 m/m
01970-002;StoFentra Profi  90 mm natural anodized;11,83;M;1,00 m/m
01923-003;StoFentra Profi 110 mm anthracite powder-coated;22,71;M;1,00 m/m
02106-002;StoFentra Profi 110 mm colored powder-coated;23,08;M;1,00 m/m
01971-002;StoFentra Profi 110 mm natural anodized;12,54;M;1,00 m/m
02010-009;StoFentra Profi 110 mm white powder-coated;17,42;M;1,00 m/m
01923-004;StoFentra Profi 130 mm anthracite powder-coated;26,21;M;1,00 m/m
02106-003;StoFentra Profi 130 mm colored powder-coated;26,64;M;1,00 m/m
01980-001;StoFentra Profi 130 mm natural anodized;14,16;M;1,00 m/m
02010-010;StoFentra Profi 130 mm white powder-coated;20,18;M;1,00 m/m
01923-005;StoFentra Profi 150 mm anthracite powder-coated;28,11;M;1,00 m/m
02106-004;StoFentra Profi 150 mm colored powder-coated;28,57;M;1,00 m/m
01981-001;StoFentra Profi 150 mm natural anodized;15,11;M;1,00 m/m
02010-011;StoFentra Profi 150 mm white powder-coated;20,89;M;1,00 m/m
01923-006;StoFentra Profi 165 mm anthracite powder-coated;31,29;M;1,00 m/m
02106-005;StoFentra Profi 165 mm colored powder-coated;31,75;M;1,00 m/m
01972-002;StoFentra Profi 165 mm natural anodized;15,59;M;1,00 m/m
02010-012;StoFentra Profi 165 mm white powder-coated;24,06;M;1,00 m/m
01923-007;StoFentra Profi 180 mm anthracite powder-coated;32,42;M;1,00 m/m
02106-006;StoFentra Profi 180 mm colored powder-coated;32,91;M;1,00 m/m
01982-001;StoFentra Profi 180 mm natural anodized;16,54;M;1,00 m/m
02010-013;StoFentra Profi 180 mm white powder-coated;25,27;M;1,00 m/m
01923-008;StoFentra Profi 195 mm anthracite powder-coated;34,00;M;1,00 m/m
02106-007;StoFentra Profi 195 mm colored powder-coated;34,47;M;1,00 m/m
02096-001;StoFentra Profi 195 mm natural anodized;18,71;M;1,00 m/m
02010-014;StoFentra Profi 195 mm white powder-coated;28,83;M;1,00 m/m
01923-009;StoFentra Profi 210 mm anthracite powder-coated;37,21;M;1,00 m/m
02106-008;StoFentra Profi 210 mm colored powder-coated;37,70;M;1,00 m/m
01983-001;StoFentra Profi 210 mm natural anodized;20,62;M;1,00 m/m
02010-015;StoFentra Profi 210 mm white powder-coated;30,66;M;1,00 m/m
01923-010;StoFentra Profi 225 mm anthracite powder-coated;41,18;M;1,00 m/m
02106-017;StoFentra Profi 225 mm colored powder-coated;41,42;M;1,00 m/m
01973-004;StoFentra Profi 225 mm natural anodized;22,20;M;1,00 m/m
02010-016;StoFentra Profi 225 mm white powder-coated;33,10;M;1,00 m/m
01923-011;StoFentra Profi 240 mm anthracite powder-coated;44,54;M;1,00 m/m
02106-018;StoFentra Profi 240 mm colored powder-coated;45,03;M;1,00 m/m
01973-005;StoFentra Profi 240 mm natural anodized;24,23;M;1,00 m/m
02010-017;StoFentra Profi 240 mm white powder-coated;34,53;M;1,00 m/m
01923-012;StoFentra Profi 260 mm anthracite powder-coated;49,09;M;1,00 m/m
02106-010;StoFentra Profi 260 mm colored powder-coated;49,30;M;1,00 m/m
01985-001;StoFentra Profi 260 mm natural anodized;27,01;M;1,00 m/m
02010-018;StoFentra Profi 260 mm white powder-coated;39,08;M;1,00 m/m
01923-013;StoFentra Profi 280 mm anthracite powder-coated;52,10;M;1,00 m/m
02106-011;StoFentra Profi 280 mm colored powder-coated;52,45;M;1,00 m/m
01986-001;StoFentra Profi 280 mm natural anodized;31,59;M;1,00 m/m
02010-019;StoFentra Profi 280 mm white powder-coated;41,32;M;1,00 m/m
01923-014;StoFentra Profi 300 mm anthracite powder-coated;58,87;M;1,00 m/m
02106-012;StoFentra Profi 300 mm colored powder-coated;59,37;M;1,00 m/m
01932-001;StoFentra Profi 300 mm natural anodized;35,75;M;1,00 m/m
02010-020;StoFentra Profi 300 mm white powder-coated;48,69;M;1,00 m/m
01923-015;StoFentra Profi 320 mm anthracite powder-coated;66,65;M;1,00 m/m
02106-013;StoFentra Profi 320 mm colored powder-coated;66,95;M;1,00 m/m
01973-001;StoFentra Profi 320 mm natural anodized;39,41;M;1,00 m/m
02010-021;StoFentra Profi 320 mm white powder-coated;54,51;M;1,00 m/m
01923-016;StoFentra Profi 340 mm anthracite powder-coated;72,90;M;1,00 m/m
02106-014;StoFentra Profi 340 mm colored powder-coated;73,58;M;1,00 m/m
01973-002;StoFentra Profi 340 mm natural anodized;44,50;M;1,00 m/m
02010-022;StoFentra Profi 340 mm white powder-coated;58,85;M;1,00 m/m
01923-017;StoFentra Profi 360 mm anthracite powder-coated;76,61;M;1,00 m/m
02106-015;StoFentra Profi 360 mm colored powder-coated;76,95;M;1,00 m/m
01973-003;StoFentra Profi 360 mm natural anodized;47,76;M;1,00 m/m
02010-023;StoFentra Profi 360 mm white powder-coated;62,32;M;1,00 m/m
01923-018;StoFentra Profi 380 mm anthracite powder-coated;110,36;M;1,00 m/m
02106-019;StoFentra Profi 380 mm colored powder-coated;110,70;M;1,00 m/m
01973-006;StoFentra Profi 380 mm natural anodized;71,21;M;1,00 m/m
02010-024;StoFentra Profi 380 mm white powder-coated;87,08;M;1,00 m/m
01923-019;StoFentra Profi 400 mm anthracite powder-coated;116,78;M;1,00 m/m
02106-020;StoFentra Profi 400 mm colored powder-coated;117,11;M;1,00 m/m
01973-007;StoFentra Profi 400 mm natural anodized;76,28;M;1,00 m/m
02010-025;StoFentra Profi 400 mm white powder-coated;91,80;M;1,00 m/m
02010-008;StoFentra Profi 90 mm white pulverbeschic;16,85;M;1,00 m/m
01914-009;StoFentra screws anthracite;0,42;ST;4,0 St./m
01914-008;StoFentra screws colored RAL;0,42;ST;4,0 St./m
01914-002;StoFentra screws natural;0,23;ST;4,0 St./m
01914-004;StoFentra screws white;0,23;ST;4,0 St./m
01914-013;StoFentra screws CWS anthracite;0,64;ST;
01914-014;StoFentra screws CWS colored RAL;0,64;ST;
01914-011;StoFentra screws CWS natural;0,35;ST;
01914-012;StoFentra screws CWS white;0,64;ST;
02174-006;StoFentra transition profile duo 130-195 mm;59,71;ST;
02174-009;StoFentra transition profile duo 130-195 mm;59,71;ST;
02174-012;StoFentra transition profile duo 130-195 mm;65,08;ST;
02174-015;StoFentra transition profile duo 130-195 mm;68,18;ST;
02174-007;StoFentra transition profile duo 210-280 mm;68,85;ST;
02174-010;StoFentra transition profile duo 210-280 mm;68,85;ST;
02174-013;StoFentra transition profile duo 210-280 mm;74,59;ST;
02174-016;StoFentra transition profile duo 210-280 mm;77,96;ST;
02174-008;StoFentra transition profile duo 300-400 mm;83,03;ST;
02174-011;StoFentra transition profile duo 300-400 mm;83,03;ST;
02174-014;StoFentra transition profile duo 300-400 mm;88,43;ST;
02174-017;StoFentra transition profile duo 300-400 mm;93,15;ST;
01925-028;StoElement Solido Thermostop TSP;5,78;ST;
01925-026;StoElement Solido Winkelkonsole MF/MR;24,38;ST;
01925-026;StoElement Solido Winkelkonsole MF/MR;24,38;ST;
01925-027;StoElement Solido Winkelkonsole MSS/MGS;36,54;ST;
01925-027;StoElement Solido Winkelkonsole MSS/MGS;36,54;ST;
08905-002;Sto-Trittkonsole PH 20 cm;49,67;ST;
08905-003;Sto-Trittkonsole PH 25 cm;53,23;ST;
08905-004;Sto-Trittkonsole PH 30 cm;57,90;ST;
03439-001;StoMurisol BD 1K;1,81;L;4,00 - 5,50 l/m² je nach Anwendung
03661/004;StoMurisol BD 2K Combi;1,81;L;4,00 - 5,50 l/m² je nach Anwendung
09627-001;StoPrep Murisol;6,14;L;0,2 l/m²
00780-001;StoFlexyl;4,36;KG;3,90 kg/m² Abdichtung (layer thickness [>=] 3,0 mm)
00780-024;StoFlexyl Cement;0,43;KG;3,90 kg/m² Abdichtung
00047-001;StoLevell SW plus;1,27;KG;
00917-001;Sto-Panzergewebe 100 cm;3,97;M;1,00 m/m²
02036-005;Sto-Glasfasergewebe 110 cm;0,99;M;1,00 m/m² with 10 cm overlap
00920-003;Sto-Glasfasergewebe F 110 cm;0,97;M;1,00 m/m² with 10 cm overlap
00915-002;Sto-Glasfasergewebe G 110 cm;1,38;M;1,00 m/m² with 10 cm overlap
01912-001;Sto-Armierungspfeil;0,96;ST;1,00 pc/pc
01912-010;Sto-Armierungspfeil 66,5 x 33 cm;0,80;ST;1,00 pc/pc
00914-001;Sto-quoin mesh Typ I 200 cm for groove type;5,93;ST;0,53 St./m
00914-002;Sto-quoin mesh Typ II 200 cm for Nutty;5,93;ST;0,53 St./m
00914-003;Sto-quoin mesh Typ III 200 cm for Nutt;5,93;ST;0,53 St./m
00916-001;Sto-quoin mesh outside corner I for groove type;5,68;ST;1,00 pc/pc
00916-002;Sto-quoin mesh outside corner II for groove type;5,68;ST;1,00 pc/pc
00916-003;Sto-quoin mesh outside corner III for Nutty;5,68;ST;1,00 pc/pc
